date,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
10-01,30.92,48.92,48.2,48.74,39.02,40.28,29.66,42.8,49.28,44.6,34.34,38.66,50.54,26.06,45.32,39.02,52.34,50.18,39.92,52.7,24.62,47.12,52.52,46.94,36.32,32.72,46.58,43.34,30.38,42.08,28.76,45.5,42.08,37.94,41.18,29.876,38.588,46.958,50.432,24.62,42.44,52.7
10-02,24.08,34.34,43.88,48.56,40.82,27.86,27.5,42.62,45.32,39.02,28.4,38.48,48.74,29.48,43.34,43.34,36.14,43.16,29.66,52.52,31.28,50.54,46.58,48.74,35.78,31.82,42.62,40.46,28.22,48.2,27.14,43.7,42.98,35.78,36.68,27.968,34.088,43.376,48.686,24.08,40.64,52.52
10-03,28.76,26.42,27.86,43.52,44.42,22.1,30.2,44.42,37.94,34.16,33.8,36.32,42.98,30.38,41.36,41.9,32.72,36.14,33.62,44.42,34.7,51.8,46.22,29.48,26.6,35.42,37.4,35.42,27.5,46.22,30.02,43.52,43.52,37.04,34.88,27.608,32.486,42.008,44.42,22.1,35.78,51.8
10-04,27.68,43.88,20.66,31.64,45.5,34.16,24.26,45.68,42.98,30.74,41.54,33.44,26.24,33.44,44.6,41.72,27.86,39.56,33.08,38.48,26.42,47.66,45.5,26.6,23.18,44.24,36.14,29.66,32.72,39.2,31.46,48.74,46.04,39.74,35.96,26.294,31.388,41.846,45.626,20.66,35.15,48.74
10-05,27.5,41.36,30.74,33.08,45.68,36.14,21.74,50.36,34.88,31.46,44.6,27.86,30.56,34.34,45.14,41.9,27.86,43.88,35.24,36.14,22.1,44.6,42.08,23.72,29.3,46.76,42.62,30.2,33.26,29.3,26.42,46.4,50.36,42.44,37.4,26.744,30.524,42.458,46.184,21.74,35.06,50.36
10-06,28.94,20.48,40.28,25.16,44.96,30.2,26.78,45.14,34.7,39.2,42.44,25.7,39.02,37.76,44.78,41.9,29.48,45.32,30.38,34.7,28.58,46.04,36.32,23.72,35.96,47.84,43.7,29.48,35.24,30.92,29.3,47.12,46.58,41.54,37.76,26.024,30.128,41.954,45.824,20.48,36.14,47.84
10-07,32.18,15.62,41.54,19.76,32.9,30.38,26.96,45.32,36.32,43.88,39.2,29.84,43.88,40.28,46.04,39.2,39.56,35.06,26.78,40.1,21.2,44.96,30.92,34.7,42.44,48.02,44.6,33.8,39.02,31.46,35.06,46.58,39.74,39.2,42.62,26.834,32.828,40.406,45.212,15.62,39.11,48.02
10-08,36.68,16.16,39.2,26.96,20.66,33.08,24.44,44.96,27.68,42.98,43.34,37.22,36.68,37.04,46.94,43.88,37.58,32.18,33.98,34.34,19.4,36.32,32.18,37.4,37.22,44.6,44.6,39.74,24.98,29.12,41.36,49.28,37.76,40.64,43.88,24.602,32.99,39.83,44.6,16.16,37.13,49.28
10-09,38.84,26.24,41.36,32.0,28.22,36.68,33.8,44.06,31.28,36.5,45.68,40.1,28.22,40.28,49.28,44.78,32.36,25.88,37.94,22.64,9.32,37.22,32.72,33.62,32.0,42.08,46.94,45.86,25.7,27.86,16.16,44.24,36.5,42.8,43.52,25.754,31.928,40.388,45.41,9.32,36.5,49.28
10-10,44.96,30.56,45.68,36.14,30.02,39.02,40.28,50.54,35.24,34.34,48.2,42.44,28.22,42.8,28.58,37.04,32.54,30.2,42.98,20.3,7.88,39.56,34.16,40.1,36.86,42.98,53.78,45.32,32.18,26.06,7.52,44.6,33.8,44.06,42.98,26.708,32.504,42.818,45.572,7.52,36.95,53.78
10-11,42.08,23.0,45.5,38.84,33.8,36.32,48.2,49.28,28.94,32.54,50.18,34.52,27.14,26.78,29.48,39.92,37.04,35.42,35.24,19.58,14.18,39.74,33.98,39.56,30.2,39.74,44.96,29.12,36.86,25.88,20.66,29.12,25.34,40.28,35.42,23.702,29.12,39.578,45.338,14.18,34.88,50.18
10-12,44.06,27.86,45.32,43.88,35.6,31.46,27.5,45.32,20.12,39.56,46.94,29.84,23.54,22.46,33.62,36.86,35.06,37.94,38.48,24.44,18.5,32.72,33.26,44.06,30.38,31.46,43.16,30.02,28.76,30.92,28.76,33.62,21.38,42.62,33.44,22.784,29.732,37.994,44.06,18.5,32.99,46.94
10-13,41.54,25.52,38.3,37.04,33.98,33.98,23.54,43.88,26.24,43.88,46.4,30.56,31.46,32.72,30.38,34.34,40.46,36.5,36.68,22.28,31.82,36.32,35.96,37.94,29.84,31.82,46.58,41.36,25.52,21.38,32.72,35.78,21.92,40.82,32.72,24.134,31.37,37.13,43.178,21.38,34.16,46.58
10-14,39.92,22.28,44.78,26.6,32.0,35.24,32.9,31.64,32.18,34.7,40.64,30.56,28.4,33.98,29.66,41.0,42.8,38.3,36.32,32.9,34.16,44.24,41.18,39.92,26.06,40.64,46.58,40.28,23.9,14.72,37.22,28.4,22.82,42.62,35.06,24.548,31.532,39.956,42.746,14.72,34.43,46.58
10-15,23.72,29.84,47.48,18.86,31.1,28.4,40.46,27.32,33.44,32.0,22.28,32.54,24.44,33.98,31.82,35.96,43.52,37.22,37.76,37.58,32.72,43.16,44.78,39.74,23.0,43.7,39.92,35.78,31.64,26.06,36.86,24.8,26.96,37.58,37.58,23.936,29.696,37.58,43.412,18.86,33.08,47.48
